layer,head,openness,switchiness,frac_closed,ch_lo_frac,ch_hi_frac,min_ch_mean,n_ch_mean_lt_01
16,25,0.2457,0.0875,0.0329,0.1289,0.0,0.112,0
16,26,0.3783,0.0834,0.0,0.0356,0.0003,0.1677,0
16,27,0.2665,0.0835,0.0026,0.0908,0.0,0.1434,0
16,28,0.2703,0.0771,0.0107,0.1084,0.0,0.0996,1
16,29,0.2478,0.1022,0.0291,0.0935,0.0,0.1715,0
16,30,0.3144,0.1023,0.0106,0.0446,0.0,0.1944,0
16,31,0.2628,0.0544,0.0058,0.1559,0.0001,0.0153,6
17,0,0.2999,0.0543,0.0,0.0015,0.0004,0.2188,0
17,1,0.1918,0.0732,0.0634,0.152,0.0,0.0619,2
17,2,0.1897,0.0868,0.125,0.1978,0.0,0.0903,1
17,3,0.1888,0.0779,0.1077,0.1967,0.0,0.0638,2
17,4,0.4047,0.1106,0.0,0.0048,0.0003,0.2355,0
17,5,0.2025,0.0676,0.0309,0.1301,0.0,0.093,2
17,6,0.1869,0.0862,0.1143,0.1963,0.0,0.064,1
17,7,0.1865,0.0559,0.0327,0.1775,0.0,0.0519,3
17,8,0.2792,0.0646,0.0002,0.0562,0.0,0.09,1
17,9,0.1626,0.0557,0.112,0.3149,0.0001,0.0571,6
17,10,0.2221,0.0865,0.0481,0.2233,0.0,0.0235,6
17,11,0.2306,0.0853,0.0374,0.1311,0.0,0.0833,1
17,12,0.2197,0.0913,0.0653,0.158,0.0,0.076,2
17,13,0.1641,0.0716,0.1536,0.2827,0.0,0.0429,2
17,14,0.2465,0.0646,0.0023,0.0786,0.0,0.0827,1
17,15,0.2387,0.0912,0.0309,0.0856,0.0,0.093,1
17,16,0.213,0.0895,0.0426,0.1408,0.0,0.1138,0
17,17,0.217,0.0824,0.0525,0.1656,0.0,0.0616,3
17,18,0.1165,0.0354,0.3337,0.5809,0.0,0.0174,74
17,19,0.222,0.0533,0.0014,0.1144,0.0,0.0924,1
17,20,0.1944,0.0583,0.0266,0.2053,0.0,0.0582,7
17,21,0.225,0.0746,0.0168,0.1226,0.0,0.0465,1
17,22,0.1982,0.0908,0.1069,0.2166,0.0,0.061,3
17,23,0.1825,0.0812,0.1374,0.2739,0.0,0.061,7
17,24,0.2038,0.1055,0.1397,0.2453,0.0002,0.0432,5
17,25,0.1955,0.0732,0.0673,0.1738,0.0,0.0918,2
17,26,0.1893,0.0999,0.1635,0.262,0.0,0.0715,2
17,27,0.2897,0.0761,0.0021,0.0628,0.0001,0.0357,1
17,28,0.148,0.0397,0.0994,0.3726,0.0,0.0333,30
17,29,0.1928,0.0885,0.1227,0.2344,0.0,0.0695,4
17,30,0.3735,0.0803,0.0,0.0018,0.0003,0.2772,0
17,31,0.2167,0.0962,0.0901,0.1878,0.0002,0.0687,3
18,0,0.2854,0.0684,0.0114,0.103,0.0,0.0718,1
18,1,0.3427,0.0544,0.0003,0.0169,0.0001,0.2069,0
18,2,0.2189,0.0647,0.0251,0.0987,0.0,0.1377,0
