layer,matrix,head,kv_group,sigma1,stable_rank,er99,er999,head_rms_raw,exact
24,G,29,1,3.5884182453155518,3.594,125,128,5.485675e-03,
24,G,30,1,3.2249414920806885,5.482,124,128,6.074034e-03,
24,G,31,1,3.1936872005462646,4.789,124,128,5.647067e-03,
24,K,0,0,1.5771777629852295,19.894,113,124,5.997180e-03,
24,K,1,1,1.5953688621520996,21.498,112,124,6.257599e-03,
24,O,0,0,1.3309755325317383,17.195,124,128,5.979338e-03,
24,O,1,0,0.6445596218109131,71.982,124,127,5.924580e-03,
24,O,2,0,2.051191806793213,7.983,124,128,6.278689e-03,
24,O,3,0,1.1887798309326172,21.942,124,128,6.032909e-03,
24,O,4,0,0.903895914554596,36.125,124,128,5.885802e-03,
24,O,5,0,1.3316007852554321,18.443,122,127,6.195493e-03,
24,O,6,0,1.2214347124099731,21.672,124,128,6.160393e-03,
24,O,7,0,1.1295161247253418,30.709,123,128,6.781266e-03,
24,O,8,0,1.0472533702850342,27.642,123,128,5.965109e-03,
24,O,9,0,1.4807727336883545,12.803,123,128,5.740187e-03,
24,O,10,0,2.5602850914001465,5.862,123,128,6.715794e-03,
24,O,11,0,1.0578707456588745,27.886,123,128,6.052170e-03,
24,O,12,0,1.0665727853775024,26.17,124,128,5.911194e-03,
24,O,13,0,0.8098096251487732,44.9,124,127,5.878821e-03,
24,O,14,0,1.4746084213256836,13.606,124,128,5.892774e-03,
24,O,15,0,0.9263523817062378,41.01,123,127,6.426972e-03,
24,O,16,1,1.9711719751358032,7.539,125,128,5.863445e-03,
24,O,17,1,1.161631464958191,24.229,124,128,6.194717e-03,
24,O,18,1,1.392971396446228,15.471,124,128,5.935925e-03,
24,O,19,1,0.6720715761184692,63.823,125,128,5.816838e-03,
24,O,20,1,1.850789189338684,10.149,124,128,6.387834e-03,
24,O,21,1,1.9925117492675781,7.729,124,128,6.001149e-03,
24,O,22,1,2.0019712448120117,8.358,124,128,6.270515e-03,
24,O,23,1,1.4606826305389404,16.539,124,128,6.435637e-03,
24,O,24,1,0.757243275642395,60.387,124,128,6.375178e-03,
24,O,25,1,1.8670456409454346,8.642,124,128,5.946356e-03,
24,O,26,1,0.8142371773719788,52.335,124,128,6.381619e-03,
24,O,27,1,1.452057123184204,15.055,124,128,6.103863e-03,
24,O,28,1,1.8885928392410278,9.296,124,128,6.238278e-03,
24,O,29,1,1.6289548873901367,10.527,125,128,5.725911e-03,
24,O,30,1,2.311589002609253,6.286,124,128,6.278987e-03,
24,O,31,1,1.117134928703308,26.125,124,128,6.186082e-03,
24,Q,0,0,2.151278018951416,12.248,117,127,6.155041e-03,
24,Q,1,0,2.2992773056030273,6.948,123,128,5.038436e-03,
24,Q,2,0,2.340895414352417,11.108,117,127,6.357783e-03,
24,Q,3,0,1.5734493732452393,19.773,123,128,5.746359e-03,
24,Q,4,0,1.9581955671310425,15.035,122,128,6.317070e-03,
24,Q,5,0,2.002113103866577,12.89,122,128,5.940569e-03,
24,Q,6,0,2.1764791011810303,11.757,115,126,6.077128e-03,
24,Q,7,0,1.8689115047454834,15.615,123,128,6.061110e-03,
24,Q,8,0,1.9137299060821533,12.881,123,128,5.796118e-03,
24,Q,9,0,1.9291197061538696,14.309,122,128,6.105388e-03,
24,Q,10,0,2.415112257003784,9.401,116,126,6.056601e-03,
24,Q,11,0,2.034954786300659,14.366,119,127,6.298982e-03,
24,Q,12,0,1.6943110227584839,17.947,124,128,5.949034e-03,
24,Q,13,0,1.8599438667297363,16.293,122,128,6.306067e-03,
24,Q,14,0,1.9659587144851685,14.403,121,128,6.129906e-03,
24,Q,15,0,2.176788806915283,13.218,116,127,6.442608e-03,
24,Q,16,1,2.3415675163269043,12.306,123,128,6.773416e-03,
24,Q,17,1,1.9794325828552246,14.576,117,127,6.099719e-03,
24,Q,18,1,2.0783655643463135,13.039,118,127,6.076154e-03,
24,Q,19,1,2.254831314086914,8.779,124,128,5.539482e-03,
24,Q,20,1,2.1688880920410156,13.804,115,127,6.488923e-03,
24,Q,21,1,1.8845415115356445,16.318,118,127,6.159993e-03,
24,Q,22,1,1.9029521942138672,14.518,118,127,5.874621e-03,
24,Q,23,1,2.0622477531433105,14.817,118,127,6.417233e-03,
24,Q,24,1,2.098296642303467,15.044,122,128,6.665278e-03,
24,Q,25,1,2.1914305686950684,13.769,122,127,6.683669e-03,
24,Q,26,1,2.179520606994629,11.053,122,128,5.968716e-03,
24,Q,27,1,1.9037714004516602,16.088,118,127,6.164550e-03,
24,Q,28,1,2.038210153579712,15.346,118,127,6.461310e-03,
24,Q,29,1,2.090714693069458,13.534,118,127,6.214107e-03,
24,Q,30,1,2.160236358642578,11.912,120,127,6.092033e-03,
24,Q,31,1,1.8897960186004639,11.87,119,127,5.334181e-03,
24,QK,0,0,1.1627135276794434,16.378,103,118,,0
24,QK,1,0,0.9367197155952454,11.071,114,123,,0
24,QK,2,0,1.1299147605895996,19.799,101,118,,0
24,QK,3,0,0.9551354050636292,18.779,111,122,,0
24,QK,4,0,0.9196560382843018,21.336,112,122,,0
